epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2015.53,2.55047,5.41397,1.3223,0.37702,0.24579,0.20663,0.10553,2.23036,3.28273,1.25406,0.000370115,0.000370115,0.000370115
2,3752.96,2.43762,3.2995,1.25198,0.45691,0.25676,0.24974,0.14087,2.12324,2.75319,1.21647,0.000716014,0.000716014,0.000716014
3,5506.23,2.34882,2.92097,1.22317,0.52625,0.30474,0.30742,0.16841,2.07879,2.41665,1.20568,0.00103747,0.00103747,0.00103747
4,7193.52,2.26875,2.73528,1.19319,0.55205,0.33882,0.34859,0.19615,1.95424,2.26645,1.16947,0.00100101,0.00100101,0.00100101
5,8850.04,2.21246,2.62563,1.18431,0.60562,0.33376,0.35367,0.21114,1.90823,2.17972,1.15787,0.000964348,0.000964348,0.000964348
6,10503.8,2.12865,2.51018,1.15169,0.67205,0.3448,0.38276,0.22579,1.86499,2.07811,1.1444,0.000927685,0.000927685,0.000927685
7,12170.5,2.138,2.47876,1.14541,0.69351,0.34148,0.38598,0.22818,1.84204,2.03938,1.13435,0.000891022,0.000891022,0.000891022
8,13856.5,2.07567,2.37482,1.13787,0.72739,0.37039,0.42057,0.25053,1.77842,1.89052,1.12541,0.000854359,0.000854359,0.000854359
9,15555.9,2.02812,2.2918,1.12461,0.71492,0.37946,0.4247,0.25341,1.77424,1.89543,1.1175,0.000817696,0.000817696,0.000817696
10,17228.3,2.02506,2.29321,1.12054,0.72554,0.39161,0.43772,0.26655,1.69565,1.844,1.09931,0.000781033,0.000781033,0.000781033
11,18925.3,1.99401,2.23843,1.10729,0.73628,0.39121,0.43766,0.26395,1.74819,1.83618,1.10612,0.00074437,0.00074437,0.00074437
12,20624.9,1.96473,2.20014,1.09673,0.72647,0.3999,0.44672,0.27012,1.70754,1.78439,1.09057,0.000707707,0.000707707,0.000707707
13,22303.9,1.92668,2.14855,1.09285,0.77356,0.4009,0.45423,0.28081,1.6638,1.75826,1.08237,0.000671044,0.000671044,0.000671044
14,23984.6,1.89259,2.12356,1.08507,0.765,0.40713,0.45531,0.29194,1.62879,1.73357,1.07545,0.000634381,0.000634381,0.000634381
15,25660.3,1.90593,2.11648,1.08648,0.76458,0.41694,0.46526,0.29277,1.62146,1.70129,1.06858,0.000597718,0.000597718,0.000597718
16,27347.3,1.87617,2.08315,1.0744,0.79318,0.41929,0.47339,0.30232,1.58932,1.66601,1.06519,0.000561055,0.000561055,0.000561055
17,29033,1.84105,2.02435,1.07041,0.78922,0.41707,0.47352,0.30331,1.57125,1.65101,1.05623,0.000524392,0.000524392,0.000524392
18,30712.3,1.85323,2.05696,1.06462,0.79608,0.43428,0.47938,0.30993,1.55907,1.62787,1.0586,0.000487729,0.000487729,0.000487729
19,32397.5,1.83621,2.0215,1.06591,0.79603,0.42452,0.48009,0.31318,1.54073,1.60787,1.04971,0.000451066,0.000451066,0.000451066
20,34091.2,1.80746,1.98953,1.0563,0.78439,0.43554,0.48222,0.31148,1.54409,1.61595,1.05093,0.000414403,0.000414403,0.000414403
